Time,Protocol,Average Delay (s),Loss Rate (%),Average Load
78.0,V2I,0.0,100.0,0.0
79.0,V2V,0.0,100.0,0.0
79.0,V2I,0.0,100.0,0.0
80.0,V2V,0.1,50.0,0.102
80.0,V2I,1.0038,0.0,0.042
81.0,V2V,0.1,50.0,0.102
81.0,V2I,1.0053,0.0,0.042
82.0,V2V,0.1,50.0,0.102
82.0,V2I,1.0036,0.0,0.042
83.0,V2V,0.1,50.0,0.102
83.0,V2I,1.0052,0.0,0.042
84.0,V2V,0.1,50.0,0.102
84.0,V2I,1.0052,0.0,0.042
85.0,V2V,0.1,33.33,0.1528
85.0,V2I,1.0044,0.0,0.0267
86.0,V2V,0.1,33.33,0.1528
86.0,V2I,1.0034,0.0,0.0267
87.0,V2V,0.1,33.33,0.1528
87.0,V2I,1.0041,0.0,0.0267
88.0,V2V,0.1,33.33,0.1528
88.0,V2I,1.0041,0.0,0.0267
89.0,V2V,0.1,33.33,0.1528
89.0,V2I,1.0047,0.0,0.0267
90.0,V2V,0.1,33.33,0.1528
90.0,V2I,1.0029,0.0,0.0267
91.0,V2V,0.1,33.33,0.1528
91.0,V2I,1.0022,0.0,0.0267
92.0,V2V,0.1,33.33,0.1528
92.0,V2I,1.0041,0.0,0.0267
93.0,V2V,0.1,33.33,0.1528
93.0,V2I,1.0035,0.0,0.0267
94.0,V2V,0.1,33.33,0.1528
94.0,V2I,1.0038,0.0,0.0267
95.0,V2V,0.1,33.33,0.1528
95.0,V2I,1.0044,0.0,0.0267
96.0,V2V,0.1,33.33,0.1528
96.0,V2I,1.0042,0.0,0.0267
97.0,V2V,0.1,33.33,0.1528
97.0,V2I,1.0044,0.0,0.0267
98.0,V2V,0.1,33.33,0.1528
98.0,V2I,1.0034,0.0,0.0267
99.0,V2V,0.1,33.33,0.1528
99.0,V2I,1.004,0.0,0.0267
100.0,V2V,0.1,50.0,0.102
100.0,V2I,1.0052,0.0,0.042
101.0,V2V,0.1,50.0,0.102
101.0,V2I,1.005,0.0,0.042
102.0,V2V,0.1,50.0,0.102
102.0,V2I,1.004,0.0,0.042
103.0,V2V,0.1,50.0,0.102
103.0,V2I,1.005,0.0,0.042
104.0,V2V,0.0,100.0,0.0
104.0,V2I,0.0,100.0,0.0
105.0,V2V,0.0,100.0,0.0
105.0,V2I,0.0,100.0,0.0
106.0,V2V,0.0,100.0,0.0
106.0,V2I,0.0,100.0,0.0
107.0,V2V,0.0,100.0,0.0
107.0,V2I,0.0,100.0,0.0
108.0,V2V,0.0,100.0,0.0
108.0,V2I,0.0,100.0,0.0
109.0,V2V,0.0,100.0,0.0
109.0,V2I,0.0,100.0,0.0
110.0,V2V,0.0,100.0,0.0
110.0,V2I,0.0,100.0,0.0
111.0,V2V,0.0,100.0,0.0
111.0,V2I,0.0,100.0,0.0
112.0,V2V,0.0,100.0,0.0
112.0,V2I,0.0,100.0,0.0
113.0,V2V,0.0,100.0,0.0
113.0,V2I,0.0,100.0,0.0
114.0,V2V,0.0,100.0,0.0
114.0,V2I,0.0,100.0,0.0
115.0,V2V,0.0,100.0,0.0
115.0,V2I,0.0,100.0,0.0
116.0,V2V,0.0,100.0,0.0
116.0,V2I,0.0,100.0,0.0
117.0,V2V,0.0,100.0,0.0
117.0,V2I,0.0,100.0,0.0
118.0,V2V,0.0,100.0,0.0
118.0,V2I,0.0,100.0,0.0
119.0,V2V,0.0,100.0,0.0
119.0,V2I,0.0,100.0,0.0
120.0,V2V,0.0,100.0,0.0
120.0,V2I,0.0,100.0,0.0
121.0,V2V,0.0,100.0,0.0
121.0,V2I,0.0,100.0,0.0
122.0,V2V,0.0,100.0,0.0
122.0,V2I,0.0,100.0,0.0
123.0,V2V,0.0,100.0,0.0
123.0,V2I,0.0,100.0,0.0
124.0,V2V,0.0,100.0,0.0
124.0,V2I,0.0,100.0,0.0
125.0,V2V,0.0,100.0,0.0
125.0,V2I,0.0,100.0,0.0
126.0,V2V,0.0,100.0,0.0
126.0,V2I,0.0,100.0,0.0
127.0,V2V,0.0,100.0,0.0
127.0,V2I,0.0,100.0,0.0
128.0,V2V,0.0,100.0,0.0
128.0,V2I,0.0,100.0,0.0
129.0,V2V,0.0,100.0,0.0
129.0,V2I,0.0,100.0,0.0
130.0,V2V,0.0,100.0,0.0
130.0,V2I,0.0,100.0,0.0
131.0,V2V,0.0,100.0,0.0
131.0,V2I,0.0,100.0,0.0
132.0,V2V,0.0,100.0,0.0
132.0,V2I,0.0,100.0,0.0
133.0,V2V,0.0,100.0,0.0
133.0,V2I,0.0,100.0,0.0
134.0,V2V,0.0,100.0,0.0
134.0,V2I,0.0,100.0,0.0
135.0,V2V,0.0,100.0,0.0
135.0,V2I,0.0,100.0,0.0
136.0,V2V,0.0,100.0,0.0
136.0,V2I,0.0,100.0,0.0
137.0,V2V,0.0,100.0,0.0
137.0,V2I,0.0,100.0,0.0
138.0,V2V,0.0,100.0,0.0
138.0,V2I,0.0,100.0,0.0
139.0,V2V,0.0,100.0,0.0
